STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN;RS_01;RTH_01;RWH_01;RS_IND_01;eor
         20;201903010411;201903010411;    3;  0.00;  -999;  -999;-999;eor
         20;201903010412;201903010412;    3;  0.00;  -999;  -999;-999;eor
         20;201903010413;201903010413;    3;  0.00;  -999;  -999;-999;eor
         20;201903010414;201903010414;    3;  0.00;  -999;  -999;-999;eor
         20;201903010415;201903010415;    3;  0.00;  -999;  -999;-999;eor
         20;201903010416;201903010416;    3;  0.00;  -999;  -999;-999;eor
         20;201903010417;201903010417;    3;  0.00;  -999;  -999;-999;eor
         20;201903010418;201903010418;    3;  0.00;  -999;  -999;-999;eor
         20;201903010419;201903010419;    3;  0.00;  -999;  -999;-999;eor
         20;201903010420;201903010420;    3;  0.00;  -999;  -999;-999;eor
         20;201903010421;201903010421;    3;  0.00;  -999;  -999;-999;eor
         20;201903010422;201903010422;    3;  0.00;  -999;  -999;-999;eor
         20;201903010423;201903010423;    3;  0.00;  -999;  -999;-999;eor
         20;201903010424;201903010424;    3;  0.00;  -999;  -999;-999;eor
         20;201903010425;201903010425;    3;  0.00;  -999;  -999;-999;eor
         20;201903010426;201903010426;    3;  0.00;  -999;  -999;-999;eor
         20;201903010427;201903010427;    3;  0.00;  -999;  -999;-999;eor
         20;201903010428;201903010428;    3;  0.00;  -999;  -999;-999;eor
         20;201903010429;201903010429;    3;  0.00;  -999;  -999;-999;eor
         20;201903010430;201903010430;    3;  0.00;  -999;  -999;-999;eor
         20;201903010431;201903010431;    3;  0.00;  -999;  -999;-999;eor
         20;201903010432;201903010432;    3;  0.00;  -999;  -999;-999;eor
         20;201903010433;201903010433;    3;  0.00;  -999;  -999;-999;eor
         20;201903010434;201903010434;    3;  0.00;  -999;  -999;-999;eor
         20;201903010435;201903010435;    3;  0.00;  -999;  -999;-999;eor
         20;201903010436;201903010436;    3;  0.00;  -999;  -999;-999;eor
         20;201903010437;201903010437;    3;  0.00;  -999;  -999;-999;eor
         20;201903010438;201903010438;    3;  0.00;  -999;  -999;-999;eor
         20;201903010439;201903010439;    3;  0.00;  -999;  -999;-999;eor
         20;201903010440;201903010440;    3;  0.00;  -999;  -999;-999;eor
         20;201903010441;201903010441;    3;  0.00;  -999;  -999;-999;eor
         20;201903010442;201903010442;    3;  0.00;  -999;  -999;-999;eor
         20;201903010443;201903010443;    3;  0.00;  -999;  -999;-999;eor
         20;201903010444;201903010444;    3;  0.03;  -999;  -999;-999;eor
         20;201903010445;201903010445;    3;  0.01;  -999;  -999;-999;eor
         20;201903010446;201903010446;    3;  0.00;  -999;  -999;-999;eor
         20;201903010447;201903010447;    3;  0.00;  -999;  -999;-999;eor
         20;201903010448;201903010448;    3;  0.00;  -999;  -999;-999;eor
         20;201903010449;201903010449;    3;  0.00;  -999;  -999;-999;eor
         20;201903010450;201903010450;    3;  0.00;  -999;  -999;-999;eor
         20;201903010451;201903010451;    3;  0.00;  -999;  -999;-999;eor
         20;201903010452;201903010452;    3;  0.00;  -999;  -999;-999;eor
         20;201903010453;201903010453;    3;  0.00;  -999;  -999;-999;eor
         20;201903010454;201903010454;    3;  0.00;  -999;  -999;-999;eor
         20;201903010455;201903010455;    3;  0.00;  -999;  -999;-999;eor
         20;201903010456;201903010456;    3;  0.00;  -999;  -999;-999;eor
         20;201903010457;201903010457;    3;  0.00;  -999;  -999;-999;eor
         20;201903010458;201903010458;    3;  0.00;  -999;  -999;-999;eor
         20;201903010459;201903010459;    3;  0.00;  -999;  -999;-999;eor
         20;201903010500;201903010500;    3;  0.00;  -999;  -999;-999;eor
         20;201903010501;201903010501;    3;  0.00;  -999;  -999;-999;eor
         20;201903010502;201903010502;    3;  0.00;  -999;  -999;-999;eor
         20;201903010503;201903010503;    3;  0.00;  -999;  -999;-999;eor
         20;201903010504;201903010504;    3;  0.00;  -999;  -999;-999;eor
         20;201903010505;201903010505;    3;  0.00;  -999;  -999;-999;eor
         20;201903010506;201903010506;    3;  0.00;  -999;  -999;-999;eor
         20;201903010507;201903010507;    3;  0.00;  -999;  -999;-999;eor
         20;201903010508;201903010508;    3;  0.00;  -999;  -999;-999;eor
         20;201903010509;201903010509;    3;  0.00;  -999;  -999;-999;eor
         20;201903010510;201903010510;    3;  0.03;  -999;  -999;-999;eor
         20;201903010511;201903010511;    3;  0.00;  -999;  -999;-999;eor
         20;201903010512;201903010512;    3;  0.00;  -999;  -999;-999;eor
         20;201903010513;201903010513;    3;  0.00;  -999;  -999;-999;eor
         20;201903010514;201903010514;    3;  0.00;  -999;  -999;-999;eor
         20;201903010515;201903010515;    3;  0.00;  -999;  -999;-999;eor
         20;201903010516;201903010516;    3;  0.00;  -999;  -999;-999;eor
         20;201903010517;201903010517;    3;  0.00;  -999;  -999;-999;eor
         20;201903010518;201903010518;    3;  0.00;  -999;  -999;-999;eor
         20;201903010519;201903010519;    3;  0.00;  -999;  -999;-999;eor
         20;201903010520;201903010520;    3;  0.00;  -999;  -999;-999;eor
         20;201903010521;201903010521;    3;  0.03;  -999;  -999;-999;eor
         20;201903010522;201903010522;    3;  0.01;  -999;  -999;-999;eor
         20;201903010523;201903010523;    3;  0.00;  -999;  -999;-999;eor
         20;201903010524;201903010524;    3;  0.00;  -999;  -999;-999;eor
         20;201903010525;201903010525;    3;  0.00;  -999;  -999;-999;eor
         20;201903010526;201903010526;    3;  0.04;  -999;  -999;-999;eor
         20;201903010527;201903010527;    3;  0.01;  -999;  -999;-999;eor
         20;201903010528;201903010528;    3;  0.00;  -999;  -999;-999;eor
         20;201903010529;201903010529;    3;  0.00;  -999;  -999;-999;eor
         20;201903010530;201903010530;    3;  0.00;  -999;  -999;-999;eor
         20;201903010531;201903010531;    3;  0.03;  -999;  -999;-999;eor
         20;201903010532;201903010532;    3;  0.01;  -999;  -999;-999;eor
         20;201903010533;201903010533;    3;  0.00;  -999;  -999;-999;eor
         20;201903010534;201903010534;    3;  0.00;  -999;  -999;-999;eor
         20;201903010535;201903010535;    3;  0.00;  -999;  -999;-999;eor
         20;201903010536;201903010536;    3;  0.03;  -999;  -999;-999;eor
         20;201903010537;201903010537;    3;  0.00;  -999;  -999;-999;eor
         20;201903010538;201903010538;    3;  0.00;  -999;  -999;-999;eor
         20;201903010539;201903010539;    3;  0.00;  -999;  -999;-999;eor
         20;201903010540;201903010540;    3;  0.03;  -999;  -999;-999;eor
         20;201903010541;201903010541;    3;  0.02;  -999;  -999;-999;eor
         20;201903010542;201903010542;    3;  0.00;  -999;  -999;-999;eor
         20;201903010543;201903010543;    3;  0.00;  -999;  -999;-999;eor
         20;201903010544;201903010544;    3;  0.03;  -999;  -999;-999;eor
         20;201903010545;201903010545;    3;  0.01;  -999;  -999;-999;eor
         20;201903010546;201903010546;    3;  0.00;  -999;  -999;-999;eor
         20;201903010547;201903010547;    3;  0.00;  -999;  -999;-999;eor
         20;201903010548;201903010548;    3;  0.00;  -999;  -999;-999;eor
         20;201903010549;201903010549;    3;  0.00;  -999;  -999;-999;eor
         20;201903010550;201903010550;    3;  0.03;  -999;  -999;-999;eor
         20;201903010551;201903010551;    3;  0.01;  -999;  -999;-999;eor
         20;201903010552;201903010552;    3;  0.00;  -999;  -999;-999;eor
         20;201903010553;201903010553;    3;  0.00;  -999;  -999;-999;eor
         20;201903010554;201903010554;    3;  0.05;  -999;  -999;-999;eor
         20;201903010555;201903010555;    3;  0.05;  -999;  -999;-999;eor
         20;201903010556;201903010556;    3;  0.06;  -999;  -999;-999;eor
         20;201903010557;201903010557;    3;  0.05;  -999;  -999;-999;eor
         20;201903010558;201903010558;    3;  0.05;  -999;  -999;-999;eor
         20;201903010559;201903010559;    3;  0.07;  -999;  -999;-999;eor
         20;201903010600;201903010600;    3;  0.06;  -999;  -999;-999;eor
         20;201903010601;201903010601;    3;  0.04;  -999;  -999;-999;eor
         20;201903010602;201903010602;    3;  0.06;  -999;  -999;-999;eor
         20;201903010603;201903010603;    3;  0.04;  -999;  -999;-999;eor
         20;201903010604;201903010604;    3;  0.03;  -999;  -999;-999;eor
         20;201903010605;201903010605;    3;  0.01;  -999;  -999;-999;eor
         20;201903010606;201903010606;    3;  0.00;  -999;  -999;-999;eor
         20;201903010607;201903010607;    3;  0.04;  -999;  -999;-999;eor
         20;201903010608;201903010608;    3;  0.02;  -999;  -999;-999;eor
         20;201903010609;201903010609;    3;  0.00;  -999;  -999;-999;eor
         20;201903010610;201903010610;    3;  0.05;  -999;  -999;-999;eor
         20;201903010611;201903010611;    3;  0.04;  -999;  -999;-999;eor
         20;201903010612;201903010612;    3;  0.07;  -999;  -999;-999;eor
         20;201903010613;201903010613;    3;  0.02;  -999;  -999;-999;eor
         20;201903010614;201903010614;    3;  0.04;  -999;  -999;-999;eor
         20;201903010615;201903010615;    3;  0.04;  -999;  -999;-999;eor
         20;201903010616;201903010616;    3;  0.08;  -999;  -999;-999;eor
         20;201903010617;201903010617;    3;  0.06;  -999;  -999;-999;eor
